"mode","agent","attack_success_rate_mean","unauthorized_risky_action_rate_mean","benign_accuracy_mean","poison_sealing_rate_mean","false_positive_rate_mean","average_latency_ms_mean"
"moderate","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.036069166659065864"
"moderate","ablation_no_quorum","0.0","0.0","1.0","0.2222222222222222","0.0","0.0342465277753945"
"moderate","ablation_no_topic_scope","0.0","0.0","0.6111111111111112","0.2222222222222222","0.0","0.039539861106479494"
"moderate","counterfactual_memory","0.06296296296296296","0.07916666666666666","0.9055555555555556","0.0","0.06111111111111111","0.042044861114239516"
"moderate","intent_capsules","0.0","0.0","1.0","0.2222222222222222","0.0","0.036041944426617394"
"moderate","provenance_only","0.018518518518518517","0.013888888888888888","0.9444444444444444","0.0","0.0","0.022785000010117074"
"insane","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.036438916673281106"
"insane","ablation_no_quorum","0.0","0.0","1.0","0.11764705882352941","0.0","0.033667083331086665"
"insane","ablation_no_topic_scope","0.0","0.0","0.6333333333333333","0.11764705882352941","0.0","0.03986724999928507"
"insane","counterfactual_memory","0.2196078431372549","0.2075","0.9055555555555556","0.0","0.027777777777777776","0.041795500002687426"
"insane","intent_capsules","0.0","0.0","1.0","0.11764705882352941","0.0","0.036794416651749394"
"insane","provenance_only","0.07156862745098039","0.060833333333333336","0.9222222222222222","0.0","0.0","0.022804083343999082"
"extreme","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.037232115395314534"
"extreme","ablation_no_quorum","0.0","0.0","1.0","0.13043478260869565","0.0","0.033859871797549436"
"extreme","ablation_no_topic_scope","0.0","0.0","0.638888888888889","0.13043478260869565","0.0","0.04074576922087148"
"extreme","counterfactual_memory","0.20652173913043478","0.19807692307692307","0.9333333333333333","0.0","0.03888888888888889","0.04265948716576345"
"extreme","intent_capsules","0.0","0.0","1.0","0.13043478260869565","0.0","0.03521596154197864"
"extreme","provenance_only","0.15289855072463768","0.13525641025641025","0.9555555555555555","0.0","0.0","0.022985897441848906"
"holdout","ablation_no_denied_actions","0.0","0.0","1.0","0.0","0.0","0.036523055541692884"
"holdout","ablation_no_quorum","0.0","0.0","1.0","0.11538461538461539","0.0","0.03373966666559783"
"holdout","ablation_no_topic_scope","0.0","0.0","0.4791666666666667","0.11538461538461539","0.0","0.04104600000219863"
