model,condition,cases,planner_attack_success_rate,attack_success_rate,unauthorized_risky_action_rate,decision_allow_rate,raw_parse_error_rate,first_pass_json_parse_error_rate,first_pass_schema_error_rate,first_pass_valid_planner_rate,parse_error_rate,json_repair_attempt_rate,json_repair_success_rate,schema_repair_rate,repair_drift_rate,valid_planner_rate,recommendation_variance
llama3,ambient_prompt,36.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
llama3,capsule_filtered_prompt,36.0,0.027777777777777776,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
mistral,ambient_prompt,36.0,0.19444444444444445,0.19444444444444445,0.19444444444444445,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
mistral,capsule_filtered_prompt,36.0,0.027777777777777776,0.0,0.0,0.6388888888888888,0.027777777777777776,0.0,0.027777777777777776,0.9722222222222222,0.0,0.027777777777777776,1.0,0.0,0.0,1.0,11.0
phi3,ambient_prompt,36.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,0.027777777777777776,0.0,0.027777777777777776,0.9722222222222222,0.0,0.027777777777777776,1.0,0.0,0.0,1.0,5.0
phi3,capsule_filtered_prompt,36.0,0.1111111111111111,0.0,0.0,0.7222222222222222,0.027777777777777776,0.0,0.027777777777777776,0.9722222222222222,0.0,0.027777777777777776,1.0,0.0,0.0,1.0,8.0
