agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,poison_influence_rate_mean,poison_influence_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ambient_memory,1,0.6129032258064516,0.0,0.30740037950664134,0.0,0.6129032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03177443071749458,0.0
counterfactual_memory,1,0.6129032258064516,0.0,0.30740037950664134,0.0,0.6129032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.040103036045095075,0.0
intent_capsules,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6148007590132827,0.0,0.0,0.0,0.03849582542965439,0.0
keyword_filter,1,0.6129032258064516,0.0,0.30740037950664134,0.0,0.6129032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03047926944837946,0.0
output_moderation,1,0.0,0.0,0.0,0.0,0.6129032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030132922216818642,0.0
provenance_only,1,0.6129032258064516,0.0,0.30740037950664134,0.0,0.6129032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0327344402262454,0.0
quarantine_only,1,0.6129032258064516,0.0,0.30740037950664134,0.0,0.6129032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.031227751407013147,0.0
semantic_output_judge,1,0.0,0.0,0.0,0.0,0.6129032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030452561669633973,0.0
trust_score_retrieval,1,0.6129032258064516,0.0,0.30740037950664134,0.0,0.6129032258064516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030458586348924527,0.0
