agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,poison_influences,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,poison_influence_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
trust_score_retrieval,120,84,36,1,1,0,36,0,0,0.011904761904761904,0.008333333333333333,0.0,1.0,0.0,0.0,4.164700000728772,0.03470583333940643,2,2028,10,memory_lifecycle_gap
output_moderation,120,84,36,31,31,31,36,0,0,0.36904761904761907,0.25833333333333336,0.36904761904761907,1.0,0.0,0.0,4.3457000037960825,0.03621416669830069,2,2028,10,memory_lifecycle_gap
semantic_output_judge,120,84,36,11,11,31,36,0,0,0.13095238095238096,0.09166666666666666,0.36904761904761907,1.0,0.0,0.0,4.379600007268891,0.03649666672724076,2,2028,10,memory_lifecycle_gap
counterfactual_memory,120,84,36,25,25,31,36,0,0,0.2976190476190476,0.20833333333333334,0.36904761904761907,1.0,0.0,0.0,8.62770000276214,0.07189750002301783,2,2028,10,memory_lifecycle_gap
provenance_only,120,84,36,1,1,0,36,0,0,0.011904761904761904,0.008333333333333333,0.0,1.0,0.0,0.0,4.669300001296506,0.03891083334413755,2,2028,10,memory_lifecycle_gap
intent_capsules,120,84,36,0,0,0,36,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6.4381000001958455,0.05365083333496538,2,2028,10,memory_lifecycle_gap
ablation_no_topic_scope,120,84,36,2,2,0,29,0,0,0.023809523809523808,0.016666666666666666,0.0,0.8055555555555556,0.0,0.0,10.273600006257766,0.08561333338548138,2,2028,10,memory_lifecycle_gap
ablation_no_denied_actions,120,84,36,0,0,48,36,0,0,0.0,0.0,0.5714285714285714,1.0,0.0,0.0,6.973300001845928,0.058110833348716064,2,2028,10,memory_lifecycle_gap
ablation_no_quorum,120,84,36,0,0,0,36,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6.0454000094978255,0.05037833341248188,2,2028,10,memory_lifecycle_gap
ambient_memory,120,84,36,25,25,25,36,0,0,0.2976190476190476,0.20833333333333334,0.2976190476190476,1.0,0.0,0.0,4.4945999961782945,0.03745499996815246,3,2029,10,memory_lifecycle_gap
keyword_filter,120,84,36,25,25,25,36,0,0,0.2976190476190476,0.20833333333333334,0.2976190476190476,1.0,0.0,0.0,4.473299995879643,0.03727749996566369,3,2029,10,memory_lifecycle_gap
quarantine_only,120,84,36,25,25,25,36,0,0,0.2976190476190476,0.20833333333333334,0.2976190476190476,1.0,0.0,0.0,4.4892999958392465,0.037410833298660386,3,2029,10,memory_lifecycle_gap
trust_score_retrieval,120,84,36,1,1,1,36,0,0,0.011904761904761904,0.008333333333333333,0.011904761904761904,1.0,0.0,0.0,4.3912999990425305,0.036594166658687755,3,2029,10,memory_lifecycle_gap
output_moderation,120,84,36,25,25,25,36,0,0,0.2976190476190476,0.20833333333333334,0.2976190476190476,1.0,0.0,0.0,4.699900000559865,0.03916583333799887,3,2029,10,memory_lifecycle_gap
semantic_output_judge,120,84,36,12,12,25,36,0,0,0.14285714285714285,0.1,0.2976190476190476,1.0,0.0,0.0,4.40950000029261,0.03674583333577175,3,2029,10,memory_lifecycle_gap
counterfactual_memory,120,84,36,20,20,25,36,0,0,0.23809523809523808,0.16666666666666666,0.2976190476190476,1.0,0.0,0.0,8.81209999715793,0.07343416664298275,3,2029,10,memory_lifecycle_gap
provenance_only,120,84,36,1,1,1,36,0,0,0.011904761904761904,0.008333333333333333,0.011904761904761904,1.0,0.0,0.0,4.292000006898888,0.0357666667241574,3,2029,10,memory_lifecycle_gap
intent_capsules,120,84,36,0,0,0,36,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6.509699998787255,0.05424749998989379,3,2029,10,memory_lifecycle_gap
ablation_no_topic_scope,120,84,36,3,3,0,32,0,0,0.03571428571428571,0.025,0.0,0.8888888888888888,0.0,0.0,10.363699992922193,0.08636416660768494,3,2029,10,memory_lifecycle_gap
ablation_no_denied_actions,120,84,36,0,0,48,36,0,0,0.0,0.0,0.5714285714285714,1.0,0.0,0.0,7.163899990700884,0.059699166589174034,3,2029,10,memory_lifecycle_gap
ablation_no_quorum,120,84,36,0,0,0,36,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6.105400001615635,0.05087833334679696,3,2029,10,memory_lifecycle_gap
ambient_memory,120,84,36,28,28,28,36,0,0,0.3333333333333333,0.23333333333333334,0.3333333333333333,1.0,0.0,0.0,4.619599996658508,0.0384966666388209,4,2030,10,memory_lifecycle_gap
keyword_filter,120,84,36,28,28,28,36,0,0,0.3333333333333333,0.23333333333333334,0.3333333333333333,1.0,0.0,0.0,4.564699995171395,0.03803916662642829,4,2030,10,memory_lifecycle_gap
quarantine_only,120,84,36,28,28,28,36,0,0,0.3333333333333333,0.23333333333333334,0.3333333333333333,1.0,0.0,0.0,4.529200009528722,0.037743333412739354,4,2030,10,memory_lifecycle_gap
trust_score_retrieval,120,84,36,1,1,0,36,0,0,0.011904761904761904,0.008333333333333333,0.0,1.0,0.0,0.0,4.291699992791109,0.035764166606592575,4,2030,10,memory_lifecycle_gap
output_moderation,120,84,36,28,28,28,36,0,0,0.3333333333333333,0.23333333333333334,0.3333333333333333,1.0,0.0,0.0,4.453899999134592,0.037115833326121596,4,2030,10,memory_lifecycle_gap
semantic_output_judge,120,84,36,10,10,28,36,0,0,0.11904761904761904,0.08333333333333333,0.3333333333333333,1.0,0.0,0.0,4.420899994329375,0.03684083328607812,4,2030,10,memory_lifecycle_gap
counterfactual_memory,120,84,36,24,24,28,36,0,0,0.2857142857142857,0.2,0.3333333333333333,1.0,0.0,0.0,8.647200003906619,0.07206000003255515,4,2030,10,memory_lifecycle_gap
provenance_only,120,84,36,1,1,0,36,0,0,0.011904761904761904,0.008333333333333333,0.0,1.0,0.0,0.0,4.212200003166799,0.035101666693056664,4,2030,10,memory_lifecycle_gap
intent_capsules,120,84,36,0,0,0,36,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6.650900005297444,0.05542416671081204,4,2030,10,memory_lifecycle_gap
ablation_no_topic_scope,120,84,36,2,2,0,33,0,0,0.023809523809523808,0.016666666666666666,0.0,0.9166666666666666,0.0,0.0,10.330699997211923,0.08608916664343269,4,2030,10,memory_lifecycle_gap
ablation_no_denied_actions,120,84,36,0,0,48,36,0,0,0.0,0.0,0.5714285714285714,1.0,0.0,0.0,7.005199994637223,0.05837666662197686,4,2030,10,memory_lifecycle_gap
ablation_no_quorum,120,84,36,0,0,0,36,0,0,0.0,0.0,0.0,1.0,0.0,0.0,5.958199988526758,0.04965166657105632,4,2030,10,memory_lifecycle_gap
